Membership No  Date Joined  Active  
    67158      2015-1-22    no    
    55139      2017-8-25    yes   
    32164      2017-1-5     no    
    46599      2020-1-13    yes   
    97551      2015-11-18   no    
    33817      2015-8-25    no    
    46060      2020-6-24    yes   
    63841      2016-8-6     yes   
    39162      2015-4-25    no    
    92356      2018-8-22    yes   
    95687      2016-11-24   no    
    89985      2015-2-23    no    
    54078      2018-3-12    yes   
    63724      2017-9-13    yes   
    24420      2015-10-1    yes   
    19828      2017-9-18    yes   
    57761      2015-7-21    no    
    37417      2019-9-25    no    
    35659      2016-3-22    yes   
    29508      2017-5-2     yes   
