Membership No  Date Joined  Active  
    83865      2019-11-22   no    
    58993      2018-3-6     no    
    75402      2015-10-6    no    
    12615      2019-8-10    yes   
    98271      2020-6-19    no    
    70761      2017-6-24    no    
    40571      2016-3-20    yes   
    95386      2020-8-4     yes   
    30389      2018-2-3     no    
    13786      2016-10-7    yes   
    28870      2020-10-5    yes   
    54871      2020-4-15    no    
    51452      2020-7-18    no    
    29932      2018-3-16    yes   
    15250      2019-9-18    no    
    70699      2017-6-15    no    
    35284      2019-10-14   yes   
    21949      2019-3-16    yes   
    46619      2019-8-7     yes   
    82395      2017-6-22    no    
    86317      2020-1-4     yes   
    78758      2019-8-3     yes   
    52819      2015-2-9     yes   
