Membership No  Date Joined  Active  
    75720      2016-12-18   no    
    91244      2020-2-13    no    
    83027      2015-9-21    no    
    21625      2020-2-4     no    
    55992      2019-2-14    no    
    76375      2017-3-24    no    
    30357      2019-6-9     yes   
    21043      2018-1-24    no    
    22883      2015-9-18    yes   
    16700      2019-2-20    no    
    49855      2019-2-8     yes   
    11529      2016-10-10   yes   
    32145      2016-12-11   yes   
    38508      2017-10-13   no    
    21469      2017-11-4    no    
    59216      2019-5-1     yes   
    88797      2020-9-10    yes   
    34884      2017-9-17    yes   
    31738      2020-10-4    yes   
    47898      2019-5-3     no    
    46881      2017-5-6     yes   
    96840      2017-3-10    yes   
    11359      2016-6-19    yes   
